,log,date,year
0,An NU staff member reported her personal and NU laptops were stolen from Mugar Life Sciences Building. A report was filed.,2020-02-24 10:28:00,2020
1,An officer reported placing an NU student under arrest in Krentzman Quad for several active warrants. A report was filed.,2020-02-24 13:22:00,2020
2,An NU student reported his unattended laptop was stolen from the Interdisciplinary Science and Engineering Complex. A report was filed. ,2020-02-26 10:19:00,2020
3,"An NU student reported a fight inside West Village G. Officers reported speaking to the victim, an NU student, and identified the two other juveniles involved in the assault. Boston emergency medical services cleared the victim and the two other juveniles were released to the custody of their guardians and will be summoned to court at a later date. A report was filed. ",2020-02-26 02:51:00,2020
4,An NU student reported her unattended iPad was stolen from inside Behrakis Health Sciences Center. A report was filed.,2020-02-27 13:08:00,2020
5,A residence director reported a hole punched in a wall in White Hall. A report was filed. ,2020-02-27 21:07:00,2020
6,An NU alumni reported his moped was stolen from Forsyth Circle. A report was filed. ,2020-03-01 10:22:00,2020
7,An NU student reported his sneakers were stolen from the locker room of SquashBusters Center. A report was filed. ,2020-02-17 15:37:00,2020
8,An NU student reported her package was stolen from the lobby of 49 Symphony Road. A report was filed.,2020-02-18 13:57:00,2020
9,An NU staff member reported that her office in Snell Library was broken into and several of her belongings were moved and her laptop adapters were cut. A report was filed. ,2020-02-18 15:57:00,2020
10,An NU student reported that $100 was missing from her wallet that was turned into the lost and found at Snell Library. A report was filed. ,2020-02-18 18:21:00,2020
11,"An NU student reported that a man in a surgical mask wearing all black clothing was banging on a window of Davenport A. Officers placed the man, who was unaffiliated with NU, under arrest for an active warrant. A report was filed. ",2020-02-19 09:29:00,2020
12,"An NU student reported someone attempting to steal a bike from the racks outside International Village. Officers recovered a rod and rock used by the thief, but checked for the suspect with negative results. A report was filed.",2020-02-19 23:40:00,2020
13,An officer reported stopping a former NU student in Shillman Hall who was previously banned from all NU property. Officers escorted the former student off campus and reported he will be summoned in court for violating his ban. A report was filed. ,2020-02-20 14:44:00,2020
14,An NU student reported his clothes were stolen from the laundry room in International Village. A report was filed. ,2020-02-20 16:57:00,2020
15,A sergeant reported stopping a car driving the wrong direction on Melnea Cass Boulevard. The sergeant reported that the individual appeared to be intoxicated. State police placed the driver under arrest for an OUI. A report was filed. ,2020-02-21 02:29:00,2020
16,An NU staff member reported a box of pastries was stolen from International Village. A report was filed. ,2020-02-21 08:41:00,2020
17,An officer reported observing two individuals stealing packages from the lobby of 1065 Tremont St. A report was filed. ,2020-02-21 13:37:00,2020
18,Boston College police reported an NU student attended a hockey game and was sent to the hospital due to intoxication. A report was filed.,2020-02-21 20:53:00,2020
19,"An RA in Light Hall reported that an NU student was intoxicated in their room and in need of medical assistance. Officers called emergency medical services, who cleared the student. A report was filed. ",2020-02-22 02:35:00,2020
20,An RA in East Village reported an assault and battery incident between an NU student and her roommate. A report was filed. ,2020-02-22 18:01:00,2020
21,A sergeant from the Harvard University Police Department reported transporting an intoxicated NU student to Mount Auburn Hospital. A report was filed. ,2020-02-23 01:43:00,2020
22,An RA reported observing an intoxicated student in the bathroom of Melvin Hall. Officers called an ambulance to transport the student to Beth Israel Deaconess Medical Center. A report was filed. ,2020-02-23 03:17:00,2020
23,A former NU staff member was reported for using an NU credit card for non-university business. A report was filed. ,2020-02-10 11:32:00,2020
24,An NU student reported her ring was stolen from Dodge Hall. A report was filed. ,2020-02-10 16:42:00,2020
25,"A resident assistant, or RA, reported that someone punched a hole in the wall of White Hall. A report was filed. ",2020-02-11 09:49:00,2020
26,The manager of Wollaston’s Market in Marino Recreation Center reported an NU student shoplifting an item from the store. A report was filed. ,2020-02-11 11:57:00,2020
27,An NU student reported her laptop was stolen from International Village. A report was filed. ,2020-02-11 14:43:00,2020
28,An NU student reported observing a man unaffiliated with NU harassing people at 109 St. Stephens St. Officers reported speaking to the man and placing him under arrest. A report was filed. ,2020-02-11 21:04:00,2020
29,An NU student reported that an unknown man grabbed and pushed her as she was exiting the Snell Library basement. A report was filed. ,2020-02-12 17:36:00,2020
30,The manager of Wollaston’s Market in Marino Recreation Center reported that a disorderly NU student was using lotion in the store without purchasing it. Officers reported speaking to the student and sending her on her way. A report was filed. ,2020-02-13 14:33:00,2020
31,An NU student reported his shoes were stolen from a locker inside SquashBusters. A report was filed. ,2020-02-13 14:40:00,2020
32,An NU student reported that one of his bike tires was stolen from the bike racks outside of Hayden Hall. A report was filed. ,2020-02-13 20:51:00,2020
33,An RA from Davenport A reported that one of the floor’s exit signs was smashed. A report was filed. ,2020-02-13 23:04:00,2020
34,An NU student reported that both his wallet and jacket were stolen from Cabot Center while he was using the coat check at the career fair. A report was filed. ,2020-02-14 16:16:00,2020
35,A detective reported finding several people unaffiliated with NU on top of the Renaissance Parking Garage stairwell. The detective reported one member of the party had an active warrant and placed him under arrest. A report was filed. ,2020-02-14 18:33:00,2020
36,An RA reported observing an intoxicated student in East Village. Officers reported the student was conscious and alert. A report was filed. ,2020-02-15 01:00:00,2020
37,An officer reported a hole was smashed into the wall of a men’s bathroom in White Hall. A report was filed. ,2020-02-15 01:13:00,2020
38,A proctor in International Village reported observing an intoxicated student in the lobby. Officers called an ambulance to transport the student to Beth Israel Deaconess Medical Center. A report was filed. ,2020-02-15 04:21:00,2020
39,A residential safety officer reported a student called emergency medical services for their intoxicated friend in West Village F. Officers cleared the intoxicated student and confiscated a fake ID from the NU student. A report is filed. ,2020-02-16 02:33:00,2020
40,An officer reported stopping two NU students driving a facilities golf cart near Ryder Hall. A report was filed. ,2020-02-16 12:12:00,2020
41,An RA reported two incidents of vandalism on one of the floors in White Hall. A report was filed. ,2020-02-16 12:34:00,2020
42,"A student reported being assaulted and robbed on the Interdisciplinary Science and Engineering Complex, or ISEC, footbridge by four men, one of whom had a gun. Officers searched the area and found a toy gun that was discarded. Officers reported finding the man who had stolen the victim’s phone. A report was filed. ",2020-02-03 19:18:00,2020
